"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"Unalloc_8_9060352_102821888"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"91394048"	"0"	"null"	"unknown"	"r---------"	"/img_ptojectvac.E01/vol_vol4/$Unalloc/Unalloc_8_9060352_102821888"
"Unalloc_3_0_65536"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"65536"	"0"	"null"	"unknown"	"r---------"	"/img_ptojectvac.E01/vol_vol1/Unalloc_3_0_65536"
"Unalloc_7_102825984_104857600"	""	"r"	"yes"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2031616"	"0"	"null"	"unknown"	"r---------"	"/img_ptojectvac.E01/vol_vol5/Unalloc_7_102825984_104857600"
"$AttrDef"	""	"r"	""	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"2560"	"4"	"ad617ac3906958de35eacc3d90d31043"	"unknown"	"rr-xr-xr-x"	"/img_ptojectvac.E01/vol_vol4/$AttrDef"
"$AttrDef-slack"	""	"r"	""	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"1536"	"4"	"null"	"unknown"	"rr-xr-xr-x"	"/img_ptojectvac.E01/vol_vol4/$AttrDef-slack"
"$BadClus"	""	"r"	""	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"0"	"8"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_ptojectvac.E01/vol_vol4/$BadClus"
"$BadClus:$Bad"	""	"r"	""	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"102756352"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_ptojectvac.E01/vol_vol4/$BadClus:$Bad"
"$BadClus:$Bad-slack"	""	"r"	""	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"102756352"	"8"	"null"	"unknown"	"rr-xr-xr-x"	"/img_ptojectvac.E01/vol_vol4/$BadClus:$Bad-slack"
"$Bitmap"	""	"r"	""	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"3136"	"6"	"6ea4c8498f63e8dd19ea9b971f0c28ad"	"unknown"	"rr-xr-xr-x"	"/img_ptojectvac.E01/vol_vol4/$Bitmap"
"$Bitmap-slack"	""	"r"	""	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"960"	"6"	"null"	"unknown"	"rr-xr-xr-x"	"/img_ptojectvac.E01/vol_vol4/$Bitmap-slack"
"$Boot"	""	"r"	""	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"8192"	"7"	"c775fef05a95834e6e54fc7dcf1a49c5"	"unknown"	"rr-xr-xr-x"	"/img_ptojectvac.E01/vol_vol4/$Boot"
"$ObjId"	""	"r"	""	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"0"	"25"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_ptojectvac.E01/vol_vol4/$Extend/$ObjId"
"$Quota"	""	"r"	""	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"0"	"24"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_ptojectvac.E01/vol_vol4/$Extend/$Quota"
"$Reparse"	""	"r"	""	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"0"	"26"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_ptojectvac.E01/vol_vol4/$Extend/$Reparse"
"$Repair"	""	"r"	""	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"2025-12-02 19:21:28 IST"	"0"	"28"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_ptojectvac.E01/vol_vol4/$Extend/$RmMetadata/$Repair"
