"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"drawable.db"	".db"	"r"	""	"2025-12-02 20:59:16 IST"	"2025-12-02 20:59:16 IST"	"2025-12-02 20:46:22 IST"	"65536"	"55"	"127a1cd160878b1c054207ee5c7c295e"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation.E01/vol_vol4/project vac/projectvac/ModuleOutput/Image Gallery/drawable.db"
"projectvac_20251202_204549.properties"	".properties"	"r"	""	"2025-12-02 20:59:16 IST"	"2025-12-02 20:59:16 IST"	"2025-12-02 20:46:22 IST"	"34"	"56"	"1ae34fceacfd5e86ec4515590df91cbd"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation.E01/vol_vol4/project vac/projectvac/ModuleOutput/Image Gallery/projectvac_20251202_204549.properties"
"segments_1"	""	"r"	""	"2025-12-02 20:59:16 IST"	"2025-12-02 20:59:16 IST"	"2025-12-02 20:46:15 IST"	"69"	"61"	"31d5f7db61bef95eae9d9e8122515367"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation.E01/vol_vol4/project vac/projectvac/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/segments_1"
"write.lock"	".lock"	"r"	""	"2025-12-02 20:59:16 IST"	"2025-12-02 20:59:16 IST"	"2025-12-02 20:46:14 IST"	"0"	"62"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation.E01/vol_vol4/project vac/projectvac/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/write.lock"
"projectvac.aut"	".aut"	"r"	""	"2025-12-02 20:59:16 IST"	"2025-12-02 20:59:16 IST"	"2025-12-02 20:46:11 IST"	"844"	"46"	"1172471867dca9eb1c1a632cf5e9ef3f"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation.E01/vol_vol4/project vac/projectvac/projectvac.aut"
"projectvac.aut-slack"	".aut-slack"	"r"	""	"2025-12-02 20:59:16 IST"	"2025-12-02 20:59:16 IST"	"2025-12-02 20:46:11 IST"	"3252"	"46"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation.E01/vol_vol4/project vac/projectvac/projectvac.aut-slack"
"SolrCore.properties"	".properties"	"r"	""	"2025-12-02 20:59:16 IST"	"2025-12-02 20:59:16 IST"	"2025-12-02 20:46:12 IST"	"337"	"47"	"5b69b558efb7c01f7e8dbee6106ad539"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation.E01/vol_vol4/project vac/projectvac/SolrCore.properties"
"ptojectvac.E01"	".E01"	"r"	""	"2025-12-02 20:59:16 IST"	"2025-12-02 20:59:16 IST"	"2025-12-02 20:43:41 IST"	"3517199"	"42"	"b5cefbc506e2e9b7e0990cbf92145900"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation.E01/vol_vol4/project vac/ptojectvac.E01"
"ptojectvac.E01-slack"	".E01-slack"	"r"	""	"2025-12-02 20:59:16 IST"	"2025-12-02 20:59:16 IST"	"2025-12-02 20:43:41 IST"	"1265"	"42"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation.E01/vol_vol4/project vac/ptojectvac.E01-slack"
"ptojectvac.E01.txt"	".txt"	"r"	""	"2025-12-02 20:59:16 IST"	"2025-12-02 20:59:16 IST"	"2025-12-02 20:43:42 IST"	"1310"	"43"	"954dbdb17943b9e800a56b2ad7fcc6e9"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation.E01/vol_vol4/project vac/ptojectvac.E01.txt"
"ptojectvac.E01.txt-slack"	".txt-slack"	"r"	""	"2025-12-02 20:59:16 IST"	"2025-12-02 20:59:16 IST"	"2025-12-02 20:43:42 IST"	"2786"	"43"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation.E01/vol_vol4/project vac/ptojectvac.E01.txt-slack"
"WPSettings.dat"	".dat"	"r"	""	"2025-12-02 20:57:50 IST"	"2025-12-02 20:57:50 IST"	"2025-12-02 20:57:50 IST"	"12"	"37"	"343cbba01cad6b7e5f807c6394cafbeb"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation.E01/vol_vol4/System Volume Information/WPSettings.dat"
"$OrphanFiles"	""	"v"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"null"	"unknown"	"v---------"	"/img_Compromise System Investigation.E01/vol_vol4/$OrphanFiles"

